Date,Project_ID,Project_Name,Planned_Spend,Actual_Spend,Cumulative_Planned_Spend,Cumulative_Actual_Spend,Financial_Variance
2024-10-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,5381118,35505979,30077864,-5428115
2024-11-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,3054783,42602475,33132647,-9469828
2024-12-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119994,2866797,49722469,35999444,-13723025
2025-01-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,5404616,56818965,41404060,-15414905
2025-02-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,8529894,63915461,49933954,-13981507
2025-03-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,6791018,71011957,56724972,-14286985
2025-04-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096497,5240128,78108454,61965100,-16143354
2025-05-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119994,4441185,85228448,66406285,-18822163
2025-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,4159204,92324944,70565489,-21759455
2025-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,610957,99421440,71176446,-28244994
2025-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,5992074,106517936,77168520,-29349416
2025-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,11584678,113614432,88753198,-24861234
2025-10-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119995,2866796,120734427,91619994,-29114433
2025-11-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,281980,127830923,91901974,-35928949
2025-12-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,6109566,134927419,98011540,-36915879
2026-01-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,10080784,142023915,108092324,-33931591
2026-02-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,0,149120411,108092324,-41028087
2026-03-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119994,6415045,156240405,114507369,-41733036
2026-04-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096497,8623888,163336902,123131257,-40205645
2026-05-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,6556034,170433398,129687291,-40746107
2026-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,4981646,177529894,134668937,-42860957
2026-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119994,1738877,184649888,136407814,-48242074
2026-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,9446329,191746384,145854143,-45892241
2026-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,37364244,198842880,183218387,-15624493
2025-03-28,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,0,0,0,0,0
2025-04-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,3101386,2255004,3101386,846382
2025-05-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2351734,4510008,5453120,943112
2025-06-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2261050,2992565,6771058,8445685,1674627
2025-07-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2146184,9026062,10591869,1565807
2025-08-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2369870,11281066,12961739,1680673
2025-09-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,1529534,13536070,14491273,955203
2025-10-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2261050,3161842,15797120,17653115,1855995
2025-11-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2339642,18052124,19992757,1940633
2025-12-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2514965,20307128,22507722,2200594
2026-01-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,4147272,22562132,26654994,4092862
2026-02-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,1299802,24817136,27954796,3137660
2026-03-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2261050,3651534,27078186,31606330,4528144
2026-04-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,1995044,29333190,33601374,4268184
2026-05-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2920019,31588194,36521393,4933199
2026-06-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,1922497,33843198,38443890,4600692
2026-07-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2261049,2726560,36104247,41170450,5066203
2026-08-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,2375915,38359251,43546365,5187114
2026-09-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,2255004,0,40614255,29353241,-11261014
2025-05-05,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,0,487844,0,487844,487844
2025-06-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,2597771,3549067,3085615,-463452
2025-07-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,3006340,7098134,6091955,-1006179
2025-08-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,4927227,10647201,11019182,371981
2025-09-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,2536790,14196268,13555972,-640296
2025-10-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3542968,5244326,17739236,18800298,1061062
2025-11-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,3597851,21288303,22398149,1109846
2025-12-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,3475890,24837370,25874039,1036669
2026-01-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,2372143,28386437,28246182,-140255
2026-02-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,2786810,31935504,31032992,-902512
2026-03-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,5573621,35484571,36606613,1122042
2026-04-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,2469711,39033638,39076324,42686
2026-05-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3542969,4744286,42576607,43820610,1244003
2026-06-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,3561263,46125674,47381873,1256199
2026-07-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,3323439,49674741,50705312,1030571
2026-08-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549066,2341652,53223807,53046964,-176843
2026-09-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,3549067,10360329,56772874,63407293,6634419
2025-05-04,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,0,513309,0,513309,513309
2025-06-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,700708,2521732,1214017,-1307715
2025-07-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,1262903,5043465,2476920,-2566545
2025-08-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2517658,2049162,7561123,4526082,-3035041
2025-09-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,2041014,10082855,6567096,-3515759
2025-10-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,1128465,12604588,7695561,-4909027
2025-11-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2517658,1295494,15122246,8991055,-6131191
2025-12-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,786259,17643979,9777314,-7866665
2026-01-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,2240635,20165711,12017949,-8147762
2026-02-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,2032867,22687443,14050816,-8636627
2026-03-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,236285,25209176,14287101,-10922075
2026-04-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2517658,2032866,27726834,16319967,-11406867
2026-05-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,2008424,30248566,18328391,-11920175
2026-06-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,1283272,32770299,19611663,-13158636
2026-07-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2517658,1417711,35287957,21029374,-14258583
2026-08-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521733,1486966,37809690,22516340,-15293350
2026-09-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,2521732,7685218,40331422,30201558,-10129864
2025-09-13,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,0,0,0,0,0
2025-10-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,8098273,35032530,8098273,-26934257
2025-11-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972543,1499681,70005073,9597954,-60407119
2025-12-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972544,2639437,104977617,12237391,-92740226
2026-01-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,2459475,140010147,14696866,-125313281
2026-02-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,0,175042677,14696866,-160345811
2026-03-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972543,0,210015220,14696866,-195318354
2026-04-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972544,1799617,244987764,16496483,-228491281
2026-05-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,0,280020294,16496483,-263523811
2026-06-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,839821,315052824,17336304,-297716520
2026-07-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972543,3419270,350025367,20755574,-329269793
2026-08-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,34972544,3479259,384997911,24234833,-360763078
2026-09-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35032530,449355510,420030441,473590343,53559902
2025-06-10,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,0,0,0,0,0
2025-07-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,9885810,15104049,9885810,-5218239
2025-08-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104050,18276949,30208099,28162759,-2045340
2025-09-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15077827,8600917,45285926,36763676,-8522250
2025-10-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,17752502,60389975,54516178,-5873797
2025-11-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,14448492,75494024,68964670,-6529354
2025-12-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104050,11275592,90598074,80240262,-10357812
2026-01-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,16598721,105702123,96838983,-8863140
2026-02-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15077827,8417361,120779950,105256344,-15523606
2026-03-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104050,13766712,135884000,119023056,-16860944
2026-04-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,21135180,150988049,140158236,-10829813
2026-05-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,9335141,166092098,149493377,-16598721
2026-06-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104050,11511594,181196148,161004971,-20191177
2026-07-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15077827,17437834,196273975,178442805,-17831170
2026-08-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,16048053,211378024,194490858,-16887166
2026-09-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,15104049,73956005,226482073,268446863,41964790
2025-03-28,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,0,1422670,0,1422670,1422670
2025-04-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,8924019,13289029,10346689,-2942340
2025-05-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256695,14744032,26545724,25090721,-1455003
2025-06-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289028,20758044,39834752,45848765,6014013
2025-07-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256696,15261367,53091448,61110132,8018684
2025-08-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289028,16296035,66380476,77406167,11025691
2025-09-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,16199035,79669505,93605202,13935697
2025-10-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256695,18074372,92926200,111679574,18753374
2025-11-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,9797021,106215229,121476595,15261366
2025-12-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289028,12933361,119504257,134409956,14905699
2026-01-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256696,20661045,132760953,155071001,22310048
2026-02-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289028,9053353,146049981,164124354,18074373
2026-03-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256696,17104370,159306677,181228724,21922047
2026-04-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289028,10993357,172595705,192222081,19626376
2026-05-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,14517698,185884734,206739779,20855045
2026-06-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256695,26093056,199141429,232832835,33691406
2026-07-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,13677029,212430458,246509864,34079406
2026-08-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13256695,13547696,225687153,260057560,34370407
2026-09-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,13289029,0,238976182,242248268,3272086
2026-05-30,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,0,0,0,0,0
2026-06-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,1795380,2116436,1795380,2116436,321056
2026-07-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,1791155,2779670,3586535,4896106,1309571
2026-08-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,1795379,3088052,5381914,7984158,2602244
2026-09-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,1795380,334065,7177294,8318223,1140929
2026-05-26,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,0,4381619,0,4381619,4381619
2026-06-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,18281926,19339558,18281926,23721177,5439251
2026-07-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,18281927,47971171,36563853,71692348,35128495
2026-08-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,18357472,23796723,54921325,95489071,40567746
2026-09-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,18281926,129254394,73203251,224743465,151540214
2025-11-07,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,0,2088634,0,2088634,2088634
2025-12-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,19528732,26160146,21617366,-4542780
2026-01-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,19946458,52320292,41563824,-10756468
2026-02-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26107930,25168045,78428222,66731869,-11696353
2026-03-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160145,30702926,104588367,97434795,-7153572
2026-04-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,9137775,130748513,106572570,-24175943
2026-05-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,25063613,156908659,131636183,-25272476
2026-06-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,21826229,183068805,153462412,-29606393
2026-07-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26107930,23027194,209176735,176489606,-32687129
2026-08-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160146,38483089,235336881,214972695,-20364186
2026-09-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,26160145,104301277,261497026,319273972,57776946
2024-08-03,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,0,0,0,0,0
2024-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,0,3021023,0,-3021023
2024-10-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,1846181,6042047,1846181,-4195866
2024-11-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,884946,9063070,2731127,-6331943
2024-12-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,114433,12084093,2845560,-9238533
2025-01-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1647831,15105116,4493391,-10611725
2025-02-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,839173,18126140,5332564,-12793576
2025-03-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1533398,21147163,6865962,-14281201
2025-04-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,984121,24168186,7850083,-16318103
2025-05-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,0,27189210,7850083,-19339127
2025-06-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1151956,30210233,9002039,-21208194
2025-07-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1624944,33231256,10626983,-22604273
2025-08-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,602679,36252280,11229662,-25022618
2025-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1907212,39273303,13136874,-26136429
2025-10-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,389071,42294326,13525945,-28768381
2025-11-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,0,45315349,13525945,-31789404
2025-12-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,251752,48336373,13777697,-34558676
2026-01-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,2509891,51357396,16287588,-35069808
2026-02-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,0,54378419,16287588,-38090831
2026-03-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,1716490,57399443,18004078,-39395365
2026-04-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,1907212,60420466,19911290,-40509176
2026-05-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,0,63441489,19911290,-43530199
2026-06-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,350927,66462512,20262217,-46200295
2026-07-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021024,1632573,69483536,21894790,-47588746
2026-08-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,427215,72504559,22322005,-50182554
2026-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3021023,33001575,75525582,55323580,-20202002
2026-01-24,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,0,1015131,0,1015131,1015131
2026-02-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2892167,0,2892167,1015131,-1877036
2026-03-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2898551,0,5790718,1015131,-4775587
2026-04-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2892166,0,8682884,1015131,-7667753
2026-05-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2898551,0,11581435,1015131,-10566304
2026-06-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2892167,0,14473602,1015131,-13458471
2026-07-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2892167,0,17365769,1015131,-16350638
2026-08-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2898551,0,20264320,1015131,-19249189
2026-09-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,2892166,12407525,23156486,13422656,-9733830
2025-05-14,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,0,434748,0,434748,434748
2025-06-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,1995887,513793,1995887,948541,-1047346
2025-07-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,1989301,2555789,3985188,3504330,-480858
