Date,Project_ID,Project_Name,Planned_Progress,Actual_Progress,Progress_Variance
2025-07-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,14.93,17.52,2.59
2025-08-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,18.66,21.44,2.78
2025-09-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,22.39,23.97,1.58
2025-10-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,26.13,29.2,3.07
2025-11-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,29.86,33.07,3.21
2025-12-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,33.59,37.23,3.64
2026-01-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,37.32,44.09,6.77
2026-02-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,41.05,46.24,5.19
2026-03-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,44.79,52.28,7.49
2026-04-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,48.52,55.58,7.06
2026-05-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,52.25,60.41,8.16
2026-06-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,55.98,63.59,7.61
2026-07-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,59.72,68.1,8.38
2026-08-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,63.45,72.03,8.58
2026-09-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,67.18,71.74,4.56
2025-05-05,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,0.0,0.8,0.8
2025-06-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,5.82,5.06,-0.76
2025-07-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,11.64,9.99,-1.65
2025-08-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,17.46,18.07,0.61
2025-09-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,23.28,22.23,-1.05
2025-10-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,29.09,30.83,1.74
2025-11-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,34.91,36.73,1.82
2025-12-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,40.73,42.43,1.7
2026-01-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,46.55,46.32,-0.23
2026-02-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,52.37,50.89,-1.48
2026-03-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,58.19,60.03,1.84
2026-04-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,64.01,64.08,0.07
2026-05-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,69.82,71.86,2.04
2026-06-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,75.64,77.7,2.06
2026-07-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,81.46,83.15,1.69
2026-08-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,87.28,86.99,-0.29
2026-09-01,JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,93.1,93.34,0.24
2025-05-04,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,0.0,1.26,1.26
2025-06-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,6.19,2.98,-3.21
2025-07-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,12.38,6.08,-6.3
2025-08-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,18.56,11.11,-7.45
2025-09-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,24.75,16.12,-8.63
2025-10-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,30.94,18.89,-12.05
2025-11-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,37.12,22.07,-15.05
2025-12-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,43.31,24.0,-19.31
2026-01-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,49.5,29.5,-20.0
2026-02-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,55.69,34.49,-21.2
2026-03-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,61.88,35.07,-26.81
2026-04-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,68.06,40.06,-28.0
2026-05-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,74.25,44.99,-29.26
2026-06-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,80.44,48.14,-32.3
2026-07-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,86.62,51.62,-35.0
2026-08-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,92.81,55.27,-37.54
2026-09-01,JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,99.0,78.59,-20.41
2025-09-13,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,0.0,0.0,0.0
2025-10-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,5.84,1.35,-4.49
2025-11-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,11.67,1.6,-10.07
2025-12-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,17.5,2.04,-15.46
2026-01-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,23.34,2.45,-20.89
2026-02-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,29.18,2.45,-26.73
2026-03-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,35.01,2.45,-32.56
2026-04-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,40.84,2.75,-38.09
2026-05-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,46.68,2.75,-43.93
2026-06-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,52.52,2.89,-49.63
2026-07-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,58.35,3.46,-54.89
2026-08-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,64.18,4.04,-60.14
2026-09-01,JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,70.02,36.45,-33.57
2025-06-10,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,0.0,0.0,0.0
2025-07-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,5.76,3.77,-1.99
2025-08-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,11.52,10.74,-0.78
2025-09-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,17.27,14.02,-3.25
2025-10-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,23.03,20.79,-2.24
2025-11-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,28.79,26.3,-2.49
2025-12-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,34.55,30.6,-3.95
2026-01-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,40.31,36.93,-3.38
2026-02-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,46.06,40.14,-5.92
2026-03-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,51.82,45.39,-6.43
2026-04-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,57.58,53.45,-4.13
2026-05-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,63.34,57.01,-6.33
2026-06-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,69.1,61.4,-7.7
2026-07-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,74.85,68.05,-6.8
2026-08-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,80.61,74.17,-6.44
2026-09-01,JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,86.37,82.4,-3.97
2025-03-28,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,0.0,0.44,0.44
2025-04-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,4.11,3.2,-0.91
2025-05-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,8.21,7.76,-0.45
2025-06-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,12.32,14.18,1.86
2025-07-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,16.42,18.9,2.48
2025-08-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,20.53,23.94,3.41
2025-09-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,24.64,28.95,4.31
2025-10-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,28.74,34.54,5.8
2025-11-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,32.85,37.57,4.72
2025-12-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,36.96,41.57,4.61
2026-01-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,41.06,47.96,6.9
2026-02-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,45.17,50.76,5.59
2026-03-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,49.27,56.05,6.78
2026-04-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,53.38,59.45,6.07
2026-05-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,57.49,63.94,6.45
2026-06-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,61.59,72.01,10.42
2026-07-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,65.7,76.24,10.54
2026-08-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,69.8,80.43,10.63
2026-09-01,JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,73.91,79.16,5.25
2026-05-30,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,0.0,0.0,0.0
2026-06-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,4.25,5.01,0.76
2026-07-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,8.49,11.59,3.1
2026-08-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,12.74,18.9,6.16
2026-09-01,JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,16.99,20.98,3.99
2026-05-26,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,0.0,0.58,0.58
2026-06-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,2.42,3.14,0.72
2026-07-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,4.84,9.49,4.65
2026-08-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,7.27,12.64,5.37
2026-09-01,JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,9.69,12.7,3.01
2025-11-07,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,0.0,0.4,0.4
2025-12-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,5.01,4.14,-0.87
2026-01-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,10.02,7.96,-2.06
2026-02-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,15.02,12.78,-2.24
2026-03-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,20.03,18.66,-1.37
2026-04-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,25.04,20.41,-4.63
2026-05-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,30.05,25.21,-4.84
2026-06-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,35.06,29.39,-5.67
2026-07-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,40.06,33.8,-6.26
2026-08-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,45.07,41.17,-3.9
2026-09-01,JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,50.08,47.2,-2.88
2024-08-03,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,0.0,0.0,0.0
2024-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,3.96,0.0,-3.96
2024-10-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,7.92,2.42,-5.5
2024-11-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,11.88,3.58,-8.3
2024-12-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,15.84,3.73,-12.11
2025-01-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,19.8,5.89,-13.91
2025-02-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,23.76,6.99,-16.77
2025-03-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,27.72,9.0,-18.72
2025-04-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,31.68,10.29,-21.39
2025-05-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,35.64,10.29,-25.35
2025-06-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,39.6,11.8,-27.8
2025-07-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,43.56,13.93,-29.63
2025-08-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,47.52,14.72,-32.8
2025-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,51.48,17.22,-34.26
2025-10-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,55.44,17.73,-37.71
2025-11-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,59.4,17.73,-41.67
2025-12-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,63.36,18.06,-45.3
2026-01-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,67.32,21.35,-45.97
2026-02-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,71.28,21.35,-49.93
2026-03-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,75.24,23.6,-51.64
2026-04-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,79.2,26.1,-53.1
2026-05-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,83.16,26.1,-57.06
2026-06-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,87.12,26.56,-60.56
2026-07-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,91.08,28.7,-62.38
2026-08-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,95.04,29.26,-65.78
2026-09-01,JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,99.0,64.82,-34.18
2026-01-24,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,0.0,1.59,1.59
2026-02-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,4.53,1.59,-2.94
2026-03-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,9.07,1.59,-7.48
2026-04-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,13.6,1.59,-12.01
2026-05-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,18.14,1.59,-16.55
2026-06-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,22.67,1.59,-21.08
2026-07-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,27.2,1.59,-25.61
2026-08-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,31.74,1.59,-30.15
2026-09-01,JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,36.27,16.22,-20.05
2025-05-14,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,0.0,0.66,0.66
2025-06-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,3.03,1.44,-1.59
2025-07-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,6.05,5.32,-0.73
2025-08-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,9.08,10.21,1.13
2025-09-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,12.11,10.24,-1.87
2025-10-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,15.13,16.07,0.94
2025-11-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,18.16,17.14,-1.02
2025-12-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,21.19,19.54,-1.65
2026-01-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,24.22,24.61,0.39
2026-02-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,27.24,27.36,0.12
2026-03-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,30.27,31.24,0.97
2026-04-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,33.3,33.72,0.42
2026-05-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,36.32,36.95,0.63
2026-06-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,39.35,38.06,-1.29
2026-07-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,42.38,40.67,-1.71
2026-08-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,45.4,45.72,0.32
2026-09-01,JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,48.43,48.12,-0.31
2026-02-07,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,0.0,1.77,1.77
2026-03-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,3.02,1.84,-1.18
2026-04-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,6.04,3.85,-2.19
2026-05-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,9.06,7.46,-1.6
2026-06-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,12.08,8.04,-4.04
2026-07-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,15.1,12.32,-2.78
2026-08-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,18.12,14.22,-3.9
2026-09-01,JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,21.14,18.11,-3.03
2024-11-19,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,0.0,0.9,0.9
2024-12-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,2.91,2.83,-0.08
2025-01-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,5.81,2.83,-2.98
2025-02-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,8.72,7.18,-1.54
2025-03-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,11.63,7.66,-3.97
2025-04-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,14.54,10.72,-3.82
2025-05-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,17.44,10.81,-6.63
2025-06-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,20.35,14.79,-5.56
2025-07-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,23.26,14.87,-8.39
2025-08-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,26.17,15.42,-10.75
2025-09-01,JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,29.07,20.55,-8.52
