Project_ID,Project_Name,Sector,District,Contractor_ID,Contractor_Name,Project_Manager_ID,Project_Manager_Name,Contract_Value,Approved_Budget,Amount_Spent,Remaining_Budget,Financial_Progress,Planned_Start_Date,Actual_Start_Date,Planned_End_Date,Expected_End_Date,Actual_End_Date,Project_Duration_Days,Elapsed_Days,Remaining_Days,Planned_Progress,Actual_Progress,Schedule_Variance,Budget_Variance,Delay_Days,Status,Schedule_Status,Budget_Status,Risk_Level,Project_Health_Score,Health_Status,Priority,Latitude,Longitude,Last_Update,Notes
JED-PROJ-011,Prince Majed Corridor Al Khalidiyah Mobility Improvement,Roads & Transportation,Al Rawdah,CONT-015,Alpha Core Construction,PM-010,Bander Alghamdi,37328696,42244224,8318223,33926001,19.69,2026-05-30,2026-05-17,2027-12-16,2027-11-30,,565,109,453,16.99,20.98,3.99,-1.29,0,In Progress,On Track,On Budget,Low,96.27,Healthy,Medium,21.565873,39.14638,2026-08-28,Additional manpower assigned to recover schedule.
JED-PROJ-012,Haramain Gateway Al Rawdah Traffic Flow Optimization,Roads & Transportation,Al Bawadi,CONT-002,Al Binaa Contracting Co.,PM-003,Fahad Alghamdi,728109698,755451508,224743465,530708043,29.75,2026-05-26,2026-06-30,2029-03-23,2029-03-26,,1032,65,935,9.69,12.7,3.01,17.05,0,In Progress,On Track,Watch,Low,81.63,Monitor,Strategic,21.608095,39.188309,2026-09-03,Coordination ongoing with traffic management authority.
JED-PROJ-013,Northern Jeddah Al Rabwah Bridge Rehabilitation,Roads & Transportation,Al Rawdah,CONT-004,Jeddah Urban Works Co.,PM-005,Khalid Alotaibi,473560924,522158599,319273972,202884627,61.15,2025-11-07,2025-12-13,2027-06-29,2027-06-05,,599,264,275,50.08,47.2,-2.88,13.95,0,In Progress,On Track,Watch,Low,81.44,Monitor,Strategic,21.583886,39.15368,2026-08-28,Design revision under review.
JED-PROJ-014,Southern Jeddah Al Salamah Intersection Upgrade,Roads & Transportation,Al Safa,CONT-002,Al Binaa Contracting Co.,PM-007,Yousef Alsubaie,68020772,76288467,55323580,20964887,72.52,2024-08-03,2024-09-15,2026-08-30,2027-10-05,,757,718,397,99.0,64.82,-34.18,7.7,401,Delayed,Critical Delay,On Budget,Critical,29.74,Critical,Medium,21.56355,39.184642,2026-09-03,Coordination ongoing with traffic management authority.
JED-PROJ-015,Eastern Jeddah Al Rowais Bridge Rehabilitation,Roads & Transportation,Al Sanabel,CONT-010,Saudi Infrastructure Solutions,PM-004,Abdullah Alzahrani,61826144,63844738,13422656,50422082,21.02,2026-01-24,2026-02-19,2027-09-28,2028-09-08,,612,196,736,36.27,16.22,-20.05,4.8,93,On Hold,Critical Delay,On Budget,Critical,55.41,At Risk,Medium,21.404137,39.245343,2026-08-25,Awaiting utility relocation approval.
JED-PROJ-016,Western Jeddah Obhur Intersection Upgrade,Roads & Transportation,Al Salamah,CONT-013,Blue Horizon Contractors,PM-003,Fahad Alghamdi,62132496,65870872,25842003,40028869,39.23,2025-05-14,2025-05-05,2028-01-24,2028-02-11,,985,486,526,48.43,48.12,-0.31,-8.89,0,In Progress,On Track,Under Budget,Low,90.46,Healthy,Medium,21.616798,39.16139,2026-08-30,Project progressing according to plan.
JED-PROJ-017,Central Jeddah Al Zahra Intersection Upgrade,Roads & Transportation,Prince Fawaz,CONT-002,Al Binaa Contracting Co.,PM-009,Turki Almutairi,90685934,90572230,16536982,74035248,18.26,2026-02-07,2026-03-08,2028-10-18,2028-10-21,,984,179,779,21.14,18.11,-3.03,0.15,0,In Progress,On Track,On Budget,Low,94.45,Healthy,Medium,21.42744,39.242257,2026-08-26,Additional manpower assigned to recover schedule.
JED-PROJ-018,Corniche Al Bawadi Mobility Improvement,Roads & Transportation,Al Hamdaniyah,CONT-011,Corniche Civil Works,PM-005,Khalid Alotaibi,180810459,198025458,128071877,69953581,64.67,2024-11-19,2024-12-31,2027-09-06,2027-12-17,,1021,611,470,63.96,52.98,-10.98,11.69,102,In Progress,Delayed,Watch,High,65.99,At Risk,Medium,21.774791,39.21869,2026-08-25,Project progressing according to plan.
JED-PROJ-019,Airport District Al Naeem Traffic Flow Optimization,Roads & Transportation,Al Samer,CONT-003,Horizon Construction Group,PM-003,Fahad Alghamdi,135235529,139584030,111210904,28373126,79.67,2025-03-08,2025-04-05,2027-03-23,2027-03-30,,745,516,208,73.02,77.41,4.39,2.26,0,In Progress,On Track,On Budget,Low,95.14,Healthy,Low,21.575545,39.252476,2026-08-29,
JED-PROJ-020,Obhur Al Waha Traffic Flow Optimization,Roads & Transportation,Al Jamiah,CONT-001,Red Sea Infrastructure Ltd.,PM-006,Saad Alshammari,87067252,84450214,78705279,5744935,93.2,2024-02-14,2024-02-12,2026-07-20,2026-08-21,2026-09-05,887,934,0,100.0,100.0,0.0,-6.8,47,Completed,Completed,On Budget,Low,92.97,Healthy,Medium,21.465541,39.232423,2026-08-28,Coordination ongoing with traffic management authority.
JED-PROJ-021,Al Balad Al Samer Bridge Rehabilitation,Roads & Transportation,Al Salamah,CONT-003,Horizon Construction Group,PM-009,Turki Almutairi,237459503,266065838,126075364,139990474,47.39,2025-06-11,2025-07-01,2028-02-02,2028-02-23,,966,429,538,46.48,54.4,7.92,-7.01,0,In Progress,Ahead of Schedule,On Budget,Low,88.81,Healthy,Low,21.626907,39.171858,2026-08-28,
JED-PROJ-022,King Abdulaziz Road Al Ruwais Mobility Improvement,Roads & Transportation,Al Marwah,CONT-002,Al Binaa Contracting Co.,PM-014,Tariq Alotaibi,54155586,56253341,34913743,21339598,62.07,2024-06-11,2024-05-25,2027-07-16,2028-05-22,,1130,831,627,72.04,44.72,-27.32,17.35,311,Delayed,Critical Delay,Watch,Critical,31.59,Critical,High,21.601843,39.230317,2026-08-25,Coordination ongoing with traffic management authority.
JED-PROJ-023,Prince Majed Corridor Al Aziziyah Intersection Upgrade,Roads & Transportation,Obhur,CONT-018,First Route Engineering,PM-013,Hassan Alzahrani,87317045,85450516,69148070,16302446,80.92,2023-10-15,2023-10-27,2026-03-25,2027-03-18,,892,1042,196,99.0,73.7,-25.3,7.22,358,Delayed,Critical Delay,On Budget,Critical,44.58,Critical,High,21.758028,39.141457,2026-08-30,Coordination ongoing with traffic management authority.
JED-PROJ-024,Haramain Gateway Al Faisaliyah Corridor Enhancement,Roads & Transportation,Al Muhammadiyah,CONT-017,Vision Axis Developments,PM-007,Yousef Alsubaie,110144250,114700605,16045151,98655454,13.99,2026-12-23,,2028-12-21,2028-12-21,,729,0,840,0.0,0.0,0.0,13.99,0,Not Started,On Track,Watch,Low,86.07,Healthy,Low,21.65884,39.10678,2026-08-29,Procurement of long-lead items in progress.
JED-PROJ-025,Northern Jeddah Al Marwah Bridge Rehabilitation,Roads & Transportation,Al Hamdaniyah,CONT-020,Prime Gulf Builders,PM-001,Ahmed Alharbi,145840169,147159461,153712451,-6552990,104.45,2022-06-27,2022-07-12,2025-06-25,2025-06-06,2025-06-19,1094,1073,0,100.0,100.0,0.0,4.45,0,Completed,Completed,Over Budget,Low,95.23,Healthy,Low,21.800782,39.220788,2026-08-30,Awaiting utility relocation approval.
JED-PROJ-026,Southern Jeddah Al Balad Transport Link Upgrade,Roads & Transportation,Al Salamah,CONT-011,Corniche Civil Works,PM-006,Saad Alshammari,408450474,405918452,299395593,106522859,73.76,2025-10-22,2025-10-19,2027-06-28,2027-12-05,,614,319,458,51.47,41.0,-10.47,32.76,160,Delayed,Delayed,Over Budget,Critical,45.54,Critical,Strategic,21.604135,39.144782,2026-08-30,Design revision under review.
JED-PROJ-027,Eastern Jeddah Al Khalidiyah Mobility Improvement,Roads & Transportation,Al Naseem,CONT-004,Jeddah Urban Works Co.,PM-003,Fahad Alghamdi,65377618,64734234,25927226,38807008,40.05,2025-06-26,2025-08-09,2028-02-23,2028-03-12,,972,390,556,44.65,41.09,-3.56,-1.04,0,In Progress,On Track,On Budget,Low,92.73,Healthy,Low,21.513625,39.274297,2026-09-02,Contractor submitted recovery plan.
JED-PROJ-028,Western Jeddah Al Rawdah Access Road Development,Roads & Transportation,Al Bawadi,CONT-007,Western Projects Company,PM-004,Abdullah Alzahrani,174954022,192594688,185336444,7258244,96.23,2023-09-12,2023-10-08,2025-06-24,2025-08-01,2025-08-21,651,683,0,100.0,100.0,0.0,-3.77,58,Completed,Completed,On Budget,Low,95.88,Healthy,High,21.591269,39.195957,2026-08-30,Procurement of long-lead items in progress.
JED-PROJ-029,Central Jeddah Mishrifah Traffic Flow Optimization,Roads & Transportation,Al Hamdaniyah,CONT-001,Red Sea Infrastructure Ltd.,PM-008,Omar Alshehri,223445927,254294509,256792999,-2498490,100.98,2024-06-26,2024-08-05,2025-12-08,2025-11-21,2025-12-05,530,487,0,100.0,100.0,0.0,0.98,0,Completed,Completed,Over Budget,Low,98.56,Healthy,High,21.770276,39.22425,2026-08-30,Coordination ongoing with traffic management authority.
JED-PROJ-030,Corniche Al Jamiah Bridge Rehabilitation,Roads & Transportation,Al Rawdah,CONT-002,Al Binaa Contracting Co.,PM-006,Saad Alshammari,40475775,38819076,24966253,13852823,64.31,2026-01-31,2026-03-15,2027-05-04,2027-05-29,,458,172,268,46.94,41.9,-5.04,22.41,25,In Progress,Slightly Delayed,Over Budget,Medium,67.82,At Risk,Medium,21.575753,39.174623,2026-08-28,Procurement of long-lead items in progress.
JED-PROJ-031,Airport District Al Rabwah Traffic Flow Optimization,Roads & Transportation,Al Bawadi,CONT-017,Vision Axis Developments,PM-002,Mohammed Alqahtani,234279792,264052714,37626344,226426370,14.25,2026-04-16,2026-05-28,2029-04-10,2029-06-29,,1090,98,1030,12.84,0.0,-12.84,14.25,133,On Hold,Delayed,Watch,Critical,58.02,At Risk,Low,21.581577,39.19317,2026-08-26,Coordination ongoing with traffic management authority.
JED-PROJ-032,Obhur Al Ajwad Mobility Improvement,Roads & Transportation,Al Bawadi,CONT-001,Red Sea Infrastructure Ltd.,PM-010,Bander Alghamdi,59677974,59986884,44619885,15366999,74.38,2025-04-27,2025-06-04,2026-10-24,2026-10-02,,545,456,29,90.64,90.7,0.06,-16.32,0,In Progress,On Track,Under Budget,Low,89.39,Healthy,High,21.582533,39.187841,2026-09-02,Variation order under evaluation.
JED-PROJ-033,Al Balad Al Salamah Mixed-Use Infrastructure Development,Urban Development,Al Hamra,CONT-010,Saudi Infrastructure Solutions,PM-011,Nawaf Alqahtani,30901978,34381868,16644620,17737248,48.41,2025-08-03,2025-08-01,2027-09-20,2027-09-23,,778,398,385,50.9,57.36,6.46,-8.95,0,In Progress,Ahead of Schedule,Under Budget,Low,87.68,Healthy,High,21.524024,39.153678,2026-09-03,
JED-PROJ-034,King Abdulaziz Road Obhur Boulevard Development,Urban Development,Al Hamra,CONT-019,Modern Grid Contracting,PM-011,Nawaf Alqahtani,550285101,587578244,168811150,418767094,28.73,2026-04-07,2026-04-20,2027-10-15,2028-03-02,,556,136,546,26.8,8.39,-18.41,20.34,139,Delayed,Delayed,Over Budget,Critical,43.15,Critical,Strategic,21.528033,39.172121,2026-08-27,Variation order under evaluation.
JED-PROJ-035,Prince Majed Corridor Al Zahra Neighborhood Renewal,Urban Development,Al Ruwais,CONT-015,Alpha Core Construction,PM-009,Turki Almutairi,581143787,557126862,440881547,116245315,79.13,2023-08-03,2023-08-21,2027-04-06,2027-03-03,,1342,1109,181,83.98,90.04,6.06,-10.91,0,In Progress,Ahead of Schedule,Under Budget,Low,86.0,Healthy,Strategic,21.5257,39.168572,2026-08-27,
JED-PROJ-036,Haramain Gateway Al Bawadi Neighborhood Renewal,Urban Development,Al Waha,CONT-015,Alpha Core Construction,PM-001,Ahmed Alharbi,348177507,373127728,385793343,-12665615,103.39,2024-07-29,2024-08-13,2026-03-28,2026-05-26,2026-06-10,607,666,0,100.0,100.0,0.0,3.39,74,Completed,Completed,Over Budget,Low,96.25,Healthy,Strategic,21.589713,39.232285,2026-08-30,Contractor submitted recovery plan.
JED-PROJ-037,Northern Jeddah Al Rawabi Public Realm Improvement,Urban Development,Obhur,CONT-004,Jeddah Urban Works Co.,PM-003,Fahad Alghamdi,67446648,65412167,12746963,52665204,19.49,2024-10-20,2024-10-27,2028-03-31,2029-03-18,,1258,676,927,54.29,16.31,-37.98,3.18,352,Delayed,Critical Delay,On Budget,Critical,30.46,Critical,Medium,21.747944,39.114469,2026-09-01,Coordination ongoing with traffic management authority.
JED-PROJ-038,Southern Jeddah Al Naeem Mixed-Use Infrastructure Development,Urban Development,Al Salamah,CONT-016,Nesma Urban Contracting,PM-001,Ahmed Alharbi,34367144,33275814,7793082,25482732,23.42,2025-08-22,2025-09-26,2027-05-11,2028-06-18,,627,342,654,60.13,31.34,-28.79,-7.92,404,Delayed,Critical Delay,On Budget,Critical,38.26,Critical,Medium,21.5954,39.154558,2026-08-28,Final handover documentation under preparation.
JED-PROJ-039,Eastern Jeddah Al Samer Public Realm Improvement,Urban Development,Al Shati,CONT-006,Gulf Engineering & Construction,PM-002,Mohammed Alqahtani,232333323,248615711,58305486,190310225,23.45,2025-04-10,2025-05-24,2027-09-27,2028-03-20,,900,467,564,56.78,21.15,-35.63,2.3,175,Delayed,Critical Delay,On Budget,High,35.07,Critical,Medium,21.64806,39.123187,2026-08-25,Procurement of long-lead items in progress.
JED-PROJ-040,Western Jeddah Al Ruwais Urban Gateway Upgrade,Urban Development,Al Ruwais,CONT-008,Al Manar Contracting,PM-004,Abdullah Alzahrani,104892408,100198553,54040458,46158095,53.93,2025-01-04,2024-12-18,2028-05-01,2028-05-10,,1213,624,615,50.04,49.21,-0.83,4.72,0,In Progress,On Track,On Budget,Low,93.62,Healthy,High,21.506157,39.175923,2026-09-02,
JED-PROJ-041,Central Jeddah Al Aziziyah Urban Gateway Upgrade,Urban Development,Al Zahra,CONT-017,Vision Axis Developments,PM-010,Bander Alghamdi,37206675,36029141,998547,35030594,2.77,2027-01-01,,2029-12-19,2029-12-19,,1083,0,1203,0.0,0.0,0.0,2.77,0,Not Started,On Track,On Budget,Low,96.84,Healthy,Medium,21.583667,39.132712,2026-08-29,Procurement of long-lead items in progress.
JED-PROJ-042,Corniche Al Thaghr Mixed-Use Infrastructure Development,Urban Development,Al Balad,CONT-009,Future Cities Construction,PM-001,Ahmed Alharbi,125487983,123118266,16217465,106900801,13.17,2026-03-26,2026-03-16,2029-10-28,2029-11-04,,1312,171,1158,12.27,17.54,5.27,-4.37,0,In Progress,Ahead of Schedule,On Budget,Low,92.67,Healthy,High,21.485444,39.179188,2026-09-02,Additional manpower assigned to recover schedule.
JED-PROJ-043,Airport District Al Faisaliyah Neighborhood Renewal,Urban Development,Al Ruwais,CONT-019,Modern Grid Contracting,PM-004,Abdullah Alzahrani,27963971,29287409,12926313,16361096,44.14,2024-10-12,2024-09-27,2028-02-17,2028-06-17,,1223,706,653,56.5,41.15,-15.35,2.99,121,In Progress,Delayed,On Budget,Medium,69.76,At Risk,Medium,21.51142,39.152279,2026-08-27,Final handover documentation under preparation.
JED-PROJ-044,Obhur Al Manar Urban Regeneration,Urban Development,Al Hamra,CONT-001,Red Sea Infrastructure Ltd.,PM-001,Ahmed Alharbi,483731248,496328330,348336999,147991331,70.18,2025-03-21,2025-05-04,2028-09-01,2028-09-08,,1260,487,736,42.14,47.33,5.19,22.85,0,In Progress,Ahead of Schedule,Over Budget,Medium,72.97,Monitor,Strategic,21.516523,39.146825,2026-09-02,Design revision under review.
JED-PROJ-045,Al Balad Prince Fawaz Waterfront Enhancement,Urban Development,Al Ruwais,CONT-009,Future Cities Construction,PM-002,Mohammed Alqahtani,58090724,59884831,63090446,-3205615,105.35,2024-03-02,2024-03-19,2027-06-10,2027-05-07,,1195,898,246,76.57,78.59,2.02,26.76,0,In Progress,On Track,Over Budget,Medium,70.8,Monitor,Medium,21.525826,39.162922,2026-08-28,
JED-PROJ-046,King Abdulaziz Road Al Safa Waterfront Enhancement,Urban Development,Al Ruwais,CONT-004,Jeddah Urban Works Co.,PM-008,Omar Alshehri,216466843,222980322,26020554,196959768,11.67,2027-04-03,,2028-12-13,2028-12-13,,620,0,832,0.0,0.0,0.0,11.67,0,Not Started,On Track,Watch,Low,88.3,Healthy,High,21.529048,39.150361,2026-09-02,Variation order under evaluation.
JED-PROJ-047,Prince Majed Corridor Al Hamdaniyah Urban Gateway Upgrade,Urban Development,Al Shati,CONT-006,Gulf Engineering & Construction,PM-008,Omar Alshehri,69024437,70420107,7514294,62905813,10.67,2027-08-09,,2031-05-18,2031-05-18,,1378,0,1718,0.0,0.0,0.0,10.67,0,Not Started,On Track,Watch,Low,89.26,Healthy,High,21.624272,39.09468,2026-08-25,
JED-PROJ-048,Haramain Gateway Al Jamiah District Revitalization,Urban Development,Al Salamah,CONT-001,Red Sea Infrastructure Ltd.,PM-001,Ahmed Alharbi,136088804,134105885,44741974,89363911,33.36,2025-01-16,2025-02-24,2028-09-08,2029-08-23,,1331,556,1085,44.7,18.39,-26.31,14.97,182,On Hold,Critical Delay,Watch,Critical,35.51,Critical,Medium,21.602635,39.181723,2026-08-29,
JED-PROJ-049,Northern Jeddah Al Hamra Urban Gateway Upgrade,Urban Development,Obhur,CONT-001,Red Sea Infrastructure Ltd.,PM-013,Hassan Alzahrani,148429588,154135461,36391960,117743501,23.61,2025-09-27,2025-09-14,2028-01-25,2027-12-25,,850,354,478,40.12,46.34,6.22,-22.73,0,In Progress,Ahead of Schedule,Under Budget,Low,84.01,Monitor,High,21.755113,39.135633,2026-08-25,Procurement of long-lead items in progress.
JED-PROJ-050,Southern Jeddah Al Rowais Neighborhood Renewal,Urban Development,Obhur,CONT-020,Prime Gulf Builders,PM-001,Ahmed Alharbi,45656660,48673007,49490759,-817752,101.68,2022-10-12,2022-11-18,2026-06-23,2026-08-15,2026-08-30,1350,1381,0,100.0,100.0,0.0,1.68,68,Completed,Completed,Over Budget,Low,97.89,Healthy,Medium,21.758478,39.117823,2026-08-29,Final handover documentation under preparation.
JED-PROJ-051,Eastern Jeddah Al Zahra Public Realm Improvement,Urban Development,Al Muhammadiyah,CONT-002,Al Binaa Contracting Co.,PM-008,Omar Alshehri,588676116,579558572,338041630,241516942,58.33,2025-04-13,2025-05-19,2027-06-15,2027-06-19,,793,472,289,64.06,64.47,0.41,-6.14,0,In Progress,On Track,On Budget,Low,93.4,Healthy,Strategic,21.669716,39.104888,2026-08-25,
JED-PROJ-052,Western Jeddah Al Rawabi Urban Regeneration,Urban Development,Al Rabwah,CONT-002,Al Binaa Contracting Co.,PM-010,Bander Alghamdi,312415300,300912909,219961780,80951129,73.1,2025-06-05,2025-06-21,2027-03-03,2027-03-22,,636,439,200,71.54,70.28,-1.26,2.82,0,In Progress,On Track,On Budget,Low,94.75,Healthy,Strategic,21.555001,39.217641,2026-09-01,Design revision under review.
JED-PROJ-053,Central Jeddah Al Baghdadiyah District Revitalization,Urban Development,Al Muhammadiyah,CONT-002,Al Binaa Contracting Co.,PM-008,Omar Alshehri,533710776,581582494,608722572,-27140078,104.67,2023-08-27,2023-08-17,2026-03-25,2026-04-13,2026-04-25,941,982,0,100.0,100.0,0.0,4.67,31,Completed,Completed,Over Budget,Low,95.02,Healthy,Strategic,21.684275,39.119485,2026-08-26,
JED-PROJ-054,Corniche Al Muhammadiyah Public Realm Improvement,Urban Development,Obhur,CONT-005,Arabian Development Contractors,PM-006,Saad Alshammari,461420474,485274850,187807104,297467746,38.7,2026-01-01,2026-01-20,2027-07-13,2027-06-21,,558,226,291,43.91,41.55,-2.36,-2.85,0,In Progress,On Track,On Budget,Low,92.94,Healthy,Strategic,21.759999,39.104818,2026-08-30,
JED-PROJ-055,Airport District Al Shati Boulevard Development,Urban Development,Al Ruwais,CONT-013,Blue Horizon Contractors,PM-009,Turki Almutairi,175368886,195891248,15904181,179987067,8.12,2026-05-28,2026-06-20,2029-05-11,2029-05-15,,1079,75,985,9.08,14.76,5.68,-6.64,0,In Progress,Ahead of Schedule,On Budget,Low,90.29,Healthy,Low,21.52876,39.182598,2026-09-01,Final handover documentation under preparation.
JED-PROJ-056,Obhur Al Aziziyah Public Realm Improvement,Urban Development,Obhur,CONT-014,Desert Line Projects,PM-009,Turki Almutairi,503926830,515446538,511234553,4211985,99.18,2022-06-07,2022-07-13,2025-12-04,2026-03-01,2026-03-20,1276,1346,0,100.0,100.0,0.0,-0.82,106,Completed,Completed,On Budget,Low,98.71,Healthy,Strategic,21.743224,39.111617,2026-08-27,Awaiting utility relocation approval.
JED-PROJ-057,Al Balad Al Thaghr Waterfront Enhancement,Urban Development,Al Ruwais,CONT-019,Modern Grid Contracting,PM-007,Yousef Alsubaie,33354508,38253884,32609247,5644637,85.24,2024-05-09,2024-05-25,2027-02-15,2027-03-29,,1012,831,207,83.7,73.75,-9.95,11.49,42,In Progress,Slightly Delayed,Watch,Medium,70.35,Monitor,Low,21.505982,39.158,2026-08-27,Design revision under review.
JED-PROJ-058,King Abdulaziz Road Al Manar Urban Regeneration,Urban Development,Al Balad,CONT-018,First Route Engineering,PM-005,Khalid Alotaibi,47342429,51711198,19702506,32008692,38.1,2025-03-27,2025-03-22,2028-02-28,2028-11-13,,1068,530,802,49.16,25.89,-23.27,12.21,131,On Hold,Critical Delay,Watch,Critical,43.08,Critical,High,21.499778,39.199935,2026-08-29,
JED-PROJ-059,Prince Majed Corridor Al Balad Public Building Rehabilitation,Buildings,Al Rehab,CONT-008,Al Manar Contracting,PM-012,Majed Alharbi,9293667,9762081,10499261,-737180,107.55,2024-12-04,2024-11-24,2026-05-29,2026-10-28,,541,648,55,100.0,89.35,-10.65,18.2,152,Delayed,Delayed,Over Budget,High,60.27,At Risk,High,21.556026,39.224788,2026-09-01,Final handover documentation under preparation.
JED-PROJ-060,Haramain Gateway Al Khalidiyah Service Center Upgrade,Buildings,Al Rabwah,CONT-013,Blue Horizon Contractors,PM-001,Ahmed Alharbi,23515194,22364131,7261317,15102814,32.47,2026-03-07,2026-03-19,2027-03-23,2028-04-16,,381,168,591,59.73,33.85,-25.88,-1.38,390,Delayed,Critical Delay,On Budget,Critical,49.25,Critical,Medium,21.544719,39.210472,2026-08-25,Contractor submitted recovery plan.
JED-PROJ-061,Northern Jeddah Al Andalus Service Center Upgrade,Buildings,Al Rehab,CONT-014,Desert Line Projects,PM-002,Mohammed Alqahtani,29008543,31020222,3498077,27522145,11.28,2027-08-02,,2028-06-13,2028-06-13,,316,0,649,0.0,0.0,0.0,11.28,0,Not Started,On Track,Watch,Low,88.67,Healthy,High,21.528169,39.222887,2026-08-25,Design revision under review.
